2025-03-29 14:58:32.175 [StartupProfiler] StartupHook.Initialize | Elapsed: 0ms | Delta: 0ms
2025-03-29 14:58:32.185 [StartupProfiler] Assembly loaded: Microsoft.DotNet.Cli.Utils | Elapsed: 10ms | Delta: 10ms
2025-03-29 14:58:32.185 [StartupProfiler] Assembly loaded: System.Diagnostics.Process | Elapsed: 10ms | Delta: 0ms
2025-03-29 14:58:32.185 [StartupProfiler] Periodic checkpoint | Elapsed: 10ms | Delta: 0ms
2025-03-29 14:58:32.185 [StartupProfiler] Assembly loaded: System.ComponentModel.Primitives | Elapsed: 10ms | Delta: 0ms
2025-03-29 14:58:32.187 [StartupProfiler] Assembly loaded: System.Diagnostics.Tracing | Elapsed: 12ms | Delta: 2ms
2025-03-29 14:58:32.189 [StartupProfiler] Assembly loaded: System.Text.Encoding.CodePages | Elapsed: 14ms | Delta: 2ms
2025-03-29 14:58:32.195 [StartupProfiler] Assembly loaded: System.CommandLine | Elapsed: 20ms | Delta: 6ms
2025-03-29 14:58:32.195 [StartupProfiler] Assembly loaded: Microsoft.DotNet.Configurer | Elapsed: 21ms | Delta: 1ms
2025-03-29 14:58:32.196 [StartupProfiler] Assembly loaded: Microsoft.DotNet.InternalAbstractions | Elapsed: 21ms | Delta: 0ms
2025-03-29 14:58:32.196 [StartupProfiler] Assembly loaded: netstandard | Elapsed: 21ms | Delta: 0ms
2025-03-29 14:58:32.198 [StartupProfiler] Assembly loaded: Microsoft.TemplateEngine.Cli | Elapsed: 24ms | Delta: 3ms
2025-03-29 14:58:32.201 [StartupProfiler] Assembly loaded: Microsoft.TemplateEngine.Edge | Elapsed: 26ms | Delta: 2ms
2025-03-29 14:58:32.201 [StartupProfiler] Assembly loaded: Microsoft.TemplateEngine.Abstractions | Elapsed: 26ms | Delta: 0ms
2025-03-29 14:58:32.201 [StartupProfiler] Assembly loaded: Microsoft.Extensions.Logging.Abstractions | Elapsed: 26ms | Delta: 0ms
2025-03-29 14:58:32.202 [StartupProfiler] Assembly loaded: Microsoft.TemplateSearch.Common | Elapsed: 27ms | Delta: 1ms
2025-03-29 14:58:32.202 [StartupProfiler] Assembly loaded: System.Linq | Elapsed: 28ms | Delta: 1ms
2025-03-29 14:58:32.204 [StartupProfiler] Assembly loaded: NuGet.CommandLine.XPlat | Elapsed: 29ms | Delta: 1ms
2025-03-29 14:58:32.204 [StartupProfiler] Assembly loaded: NuGet.Common | Elapsed: 29ms | Delta: 0ms
2025-03-29 14:58:32.213 [StartupProfiler] Assembly loaded: System.Security.Cryptography | Elapsed: 38ms | Delta: 9ms
2025-03-29 14:58:32.213 [StartupProfiler] Assembly loaded: System.Collections.Concurrent | Elapsed: 38ms | Delta: 0ms
2025-03-29 14:58:32.216 [StartupProfiler] Assembly loaded: NuGet.Frameworks | Elapsed: 42ms | Delta: 4ms
2025-03-29 14:58:32.219 [StartupProfiler] Assembly loaded: System.IO.Pipes | Elapsed: 45ms | Delta: 3ms
2025-03-29 14:58:32.220 [StartupProfiler] Assembly loaded: System.Threading.ThreadPool | Elapsed: 46ms | Delta: 1ms
2025-03-29 14:58:32.243 [StartupProfiler] StartupHook.Initialize | Elapsed: 0ms | Delta: 0ms
2025-03-29 14:58:32.254 [StartupProfiler] Assembly loaded: Microsoft.Build.Locator | Elapsed: 11ms | Delta: 11ms
2025-03-29 14:58:32.254 [StartupProfiler] Periodic checkpoint | Elapsed: 11ms | Delta: 0ms
2025-03-29 14:58:32.255 [StartupProfiler] Assembly loaded: System.Linq | Elapsed: 12ms | Delta: 1ms
2025-03-29 14:58:32.255 [StartupProfiler] Assembly loaded: System.Runtime.Loader | Elapsed: 12ms | Delta: 0ms
2025-03-29 14:58:32.258 [StartupProfiler] Assembly loaded: System.CommandLine | Elapsed: 15ms | Delta: 3ms
2025-03-29 14:58:32.259 [StartupProfiler] Assembly loaded: dotnet | Elapsed: 16ms | Delta: 1ms
2025-03-29 14:58:32.270 [StartupProfiler] Assembly loaded: Microsoft.TemplateEngine.Cli | Elapsed: 27ms | Delta: 11ms
2025-03-29 14:58:32.278 [StartupProfiler] Assembly loaded: Microsoft.TemplateEngine.Edge | Elapsed: 35ms | Delta: 8ms
2025-03-29 14:58:32.278 [StartupProfiler] Assembly loaded: Microsoft.TemplateEngine.Abstractions | Elapsed: 35ms | Delta: 0ms
2025-03-29 14:58:32.278 [StartupProfiler] Assembly loaded: Microsoft.Extensions.Logging.Abstractions | Elapsed: 35ms | Delta: 0ms
2025-03-29 14:58:32.281 [StartupProfiler] Assembly loaded: Microsoft.TemplateSearch.Common | Elapsed: 38ms | Delta: 3ms
2025-03-29 14:58:32.286 [StartupProfiler] Assembly loaded: NuGet.CommandLine.XPlat | Elapsed: 43ms | Delta: 5ms
2025-03-29 14:58:32.288 [StartupProfiler] Assembly loaded: NuGet.Common | Elapsed: 45ms | Delta: 2ms
2025-03-29 14:58:32.288 [StartupProfiler] Assembly loaded: netstandard | Elapsed: 45ms | Delta: 0ms
2025-03-29 14:58:32.297 [StartupProfiler] Assembly loaded: Microsoft.DotNet.Cli.Utils | Elapsed: 54ms | Delta: 9ms
dotnet watch ⌚ Working directory: '/app/TaxxorEditor'
dotnet watch ⌚ Hot Reload disabled by command line switch.
2025-03-29 14:58:32.313 [StartupProfiler] Assembly loaded: Microsoft.Build | Elapsed: 70ms | Delta: 16ms
2025-03-29 14:58:32.321 [StartupProfiler] Assembly loaded: System.Collections.Immutable | Elapsed: 78ms | Delta: 8ms
dotnet watch ⌚ Evaluating dotnet-watch file set.
2025-03-29 14:58:32.324 [StartupProfiler] Assembly loaded: System.Text.Json | Elapsed: 81ms | Delta: 3ms
dotnet watch ⌚ Running MSBuild target 'GenerateWatchList' on '/app/TaxxorEditor/TaxxorEditor.csproj'
2025-03-29 14:58:32.325 [StartupProfiler] Assembly loaded: System.Diagnostics.Process | Elapsed: 82ms | Delta: 1ms
2025-03-29 14:58:32.325 [StartupProfiler] Assembly loaded: System.ComponentModel.Primitives | Elapsed: 82ms | Delta: 0ms
2025-03-29 14:58:32.327 [StartupProfiler] Assembly loaded: System.IO.Pipes | Elapsed: 84ms | Delta: 2ms
2025-03-29 14:58:32.328 [StartupProfiler] Assembly loaded: System.Threading.ThreadPool | Elapsed: 85ms | Delta: 1ms
2025-03-29 14:58:32.331 [StartupProfiler] Assembly loaded: System.Net.Primitives | Elapsed: 88ms | Delta: 3ms
dotnet watch 🚀 Launched '/usr/share/dotnet/dotnet' with arguments 'msbuild /restore /nologo /v:m /app/TaxxorEditor/TaxxorEditor.csproj /t:GenerateWatchList /p:_DotNetWatchListFile=/tmp/tmpKT47VO.tmp /p:DotNetWatchBuild=true /p:DesignTimeBuild=true /p:CustomAfterMicrosoftCommonTargets=/usr/share/dotnet/sdk/9.0.201/DotnetTools/dotnet-watch/9.0.201-servicing.25113.29/tools/net9.0/any/DotNetWatch.targets /p:CustomAfterMicrosoftCommonCrossTargetingTargets=/usr/share/dotnet/sdk/9.0.201/DotnetTools/dotnet-watch/9.0.201-servicing.25113.29/tools/net9.0/any/DotNetWatch.targets': process id 1023
2025-03-29 14:58:32.331 [StartupProfiler] Assembly loaded: System.Net.Sockets | Elapsed: 88ms | Delta: 0ms
2025-03-29 14:58:32.331 [StartupProfiler] Assembly loaded: System.Threading.Thread | Elapsed: 88ms | Delta: 0ms
2025-03-29 14:58:32.331 [StartupProfiler] Assembly loaded: System.Collections.Concurrent | Elapsed: 88ms | Delta: 0ms
